# 中華語文大辭典（兩岸詞典）：音节统计
# 共1311个音节。
# 备注：修正原文中部分字母格式：ɑ->a, ɡ->g
#
# 拼音	注音	例字	字数

ǎ	ㄚˇ	啊	1
ā	ㄚ	吖	4
á	ㄚˊ	啊	2
à	ㄚˋ	啊	1
a	˙ㄚ	啊	1
āi	ㄞ	哀	7
ái	ㄞˊ	堐	6
ǎi	ㄞˇ	欸	5
ài	ㄞˋ	㤅	15
ān	ㄢ	垵	16
án	ㄢˊ	儑	2
ǎn	ㄢˇ	俺	5
àn	ㄢˋ	儑	13
āng	ㄤ	腌	2
áng	ㄤˊ	卬	2
àng	ㄤˋ	枊	2
āo	ㄠ	凹	4
áo	ㄠˊ	嗷	20
ǎo	ㄠˇ	䉛	5
ào	ㄠˋ	傲	11
bā	ㄅㄚ	䰾（鲃）	17
bá	ㄅㄚˊ	拔	9
bǎ	ㄅㄚˇ	把	2
bà	ㄅㄚˋ	伯	10
ba	˙ㄅㄚ	吧	2
bāi	ㄅㄞ	掰	1
bái	ㄅㄞˊ	白	1
bǎi	ㄅㄞˇ	伯	6
bài	ㄅㄞˋ	唄（呗）	7
bān	ㄅㄢ	扳	10
bǎn	ㄅㄢˇ	坂	10
bàn	ㄅㄢˋ	㚘	12
bāng	ㄅㄤ	傍	5
bǎng	ㄅㄤˇ	榜	5
bàng	ㄅㄤˋ	傍	12
bāo	ㄅㄠ	勹	11
báo	ㄅㄠˊ	雹	1
bǎo	ㄅㄠˇ	保	8
bào	ㄅㄠˋ	儤	15
bēi	ㄅㄟ	卑	14
běi	ㄅㄟˇ	北	2
bèi	ㄅㄟˋ	倍	25
bei	˙ㄅㄟ	唄（呗）	1
bēn	ㄅㄣ	倴	7
běn	ㄅㄣˇ	夲	4
bèn	ㄅㄣˋ	体	4
bēng	ㄅㄥ	伻	7
béng	ㄅㄥˊ	甭	1
běng	ㄅㄥˇ	䋽	5
bèng	ㄅㄥˋ	堋	8
bī	ㄅ丨	偪	4
bí	ㄅ丨ˊ	荸	2
bǐ	ㄅ丨ˇ	㠲	18
bì	ㄅ丨ˋ	㓖	90
biān	ㄅ丨ㄢ	煸	11
biǎn	ㄅ丨ㄢˇ	匾	9
biàn	ㄅ丨ㄢˋ	便	19
biāo	ㄅ丨ㄠ	儦	26
biǎo	ㄅ丨ㄠˇ	俵	5
biào	ㄅ丨ㄠˋ	摽	2
biē	ㄅ丨ㄝ	憋	4
bié	ㄅ丨ㄝˊ	別（别）	3
biě	ㄅ丨ㄝˇ	癟（瘪）	1
biè	ㄅ丨ㄝˋ	別（别）	2
bīn	ㄅ丨ㄣ	儐（傧）	16
bìn	ㄅ丨ㄣˋ	擯（摈）	5
bīng	ㄅ丨ㄥ	兵	5
bǐng	ㄅ丨ㄥˇ	丙	16
bìng	ㄅ丨ㄥˋ	並（并）	6
bō	ㄅㄛ	剝（剥）	20
bó	ㄅㄛˊ	伯	42
bǒ	ㄅㄛˇ	簸	2
bò	ㄅㄛˋ	亳	9
bo	˙ㄅㄛ	啵	1
bū	ㄅㄨ	峬	4
bǔ	ㄅㄨˇ	卜	5
bù	ㄅㄨˋ	不	17
cā	ㄘㄚ	䃰	3
cǎ	ㄘㄚˇ	礤	1
cà	ㄘㄚˋ	囃	1
cāi	ㄘㄞ	猜	1
cái	ㄘㄞˊ	才	5
cǎi	ㄘㄞˇ	寀（采）	8
cài	ㄘㄞˋ	縩	3
cān	ㄘㄢ	參（参）	3
cán	ㄘㄢˊ	帴	4
cǎn	ㄘㄢˇ	慘（惨）	6
càn	ㄘㄢˋ	孱	5
