# 古汉语常用字字典（第5版）：汉语拼音音节索引
# 共379个音节。页码略。
#
# 拼音	例字

a	阿
ai	哀
an	安
ang	昂
ao	熬
ba	巴
bai	白
ban	班
bang	邦
bao	包
bei	碑
ben	奔
beng	崩
bi	逼
bian	边
biao	标
bie	别
bin	宾
bing	兵
bo	播
bu	不
cai	猜
can	餐
cang	仓
cao	操
ce	策
cen	岑
ceng	层
cha	察
chai	柴
chan	蝉
chang	昌
chao	超
che	车
chen	尘
cheng	称
chi	吃
chong	充
chou	抽
chu	初
chuai	揣
chuan	川
chuang	窗
chui	吹
chun	春
chuo	绰
ci	词
cong	聪
cou	凑
cu	粗
cuan	窜
cui	摧
cun	存
cuo	撮
da	达
dai	待
dan	单
dang	当
dao	刀
de	德
deng	登
di	滴
dian	颠
diao	刁
die	跌
ding	丁
dong	动
dou	兜
du	都
duan	端
dui	对
dun	顿
duo	多
e	额
en	恩
er	儿
fa	发
fan	翻
fang	方
fei	非
fen	分
feng	风
fo	佛
fou	否
fu	夫
gai	该
gan	干
gang	刚
gao	高
ge	歌
gen	亘
geng	更
gong	工
gou	沟
gu	姑
gua	寡
guai	乖
guan	官
guang	光
gui	规
gun	衮
guo	郭
hai	孩
han	含
hang	行
hao	毫
he	呵
hen	痕
heng	横
hong	红
hou	厚
hu	呼
hua	华
huai	怀
huan	欢
huang	荒
hui	挥
hun	昏
huo	活
ji	机
jia	家
jian	坚
jiang	江
jiao	交
jie	接
jin	巾
jing	京
jiong	炯
jiu	究
ju	居
juan	捐
jue	决
jun	军
kai	开
kan	刊
kang	康
kao	考
ke	科
ken	肯
keng	坑
kong	空
kou	抠
ku	枯
kua	夸
kuai	快
kuan	宽
kuang	筐
kui	亏
kun	昆
kuo	阔
la	拉
lai	来
lan	兰
lang	狼
lao	牢
le	勒
lei	类
leng	棱
li	离
lian	连
liang	良
liao	燎
lie	列
lin	临
ling	灵
liu	流
long	龙
lou	漏
lu	炉
lü	吕
luan	乱
lüe	略
lun	轮
luo	罗
ma	麻
mai	迈
man	蛮
mang	盲
mao	矛
mei	枚
men	门
meng	蒙
mi	迷
mian	绵
miao	苗
mie	蔑
min	民
ming	明
miu	谬
mo	磨
mou	谋
mu	木
na	纳
nai	乃
nan	男
nang	囊
nao	挠
ne	讷
nei	内
neng	能
ni	泥
nian	年
niang	娘
niao	袅
nie	涅
ning	宁
niu	纽
nong	弄
nou	耨
nu	奴
nü	女
nuan	渜
nüe	虐
nuo	懦
ou	讴
pa	葩
pai	排
pan	攀
pang	旁
pao	庖
pei	培
pen	盆
peng	朋
pi	批
pian	偏
piao	飘
pie	瞥
pin	贫
ping	平
po	颇
pou	剖
pu	扑
qi	期
qia	洽
qian	迁
qiang	强
qiao	悄
qie	切
qin	亲
qing	青
qiong	穷
qiu	秋
qu	区
quan	权
que	缺
qun	群
ran	然
rang	壤
rao	饶
ren	仁
reng	扔
ri	驲
rong	容
rou	揉
ru	如
ruan	堧
rui	锐
run	润
ruo	弱
sa	飒
sai	塞
san	三
sang	丧
sao	搔
se	色
sha	杀
shan	善
shang	商
shao	稍
she	奢
shen	深
sheng	声
shi	诗
shou	收
shu	书
shuai	衰
shuang	双
shui	睡
shun	顺
shuo	说
si	思
song	宋
sou	搜
su	苏
suan	算
sui	虽
sun	孙
suo	缩
ta	他
tai	胎
tan	贪
tang	汤
tao	滔
te	特
teng	腾
ti	提
tian	天
tiao	条
tie	贴
ting	听
tong	通
tou	偷
tu	突
tuan	团
tui	推
tun	吞
tuo	托
wa	娃
wai	外
wan	完
wang	王
wei	威
wen	温
weng	翁
wo	卧
wu	污
xi	牺
xia	霞
xian	先
xiang	相
xiao	消
xie	些
xin	辛
xing	星
xiong	兄
xiu	休
xu	需
xuan	宣
xue	学
xun	勋
ya	压
yan	淹
yang	央
yao	妖
ye	野
yi	一
yin	音
ying	英
yong	拥
you	优
yu	于
yuan	渊
yue	约
yun	云
za	匝
zai	灾
zan	赞
zang	赃
zao	遭
ze	责
zei	贼
zen	谮
zeng	增
zha	楂
zhai	斋
zhan	沾
zhang	章
zhao	招
zhe	遮
zhen	真
zheng	征
zhi	之
zhong	中
zhou	州
zhu	朱
zhua	挝
zhuan	专
zhuang	庄
zhui	缀
zhun	准
zhuo	捉
zi	资
zong	宗
zou	邹
zu	卒
zuan	缵
zui	最
zun	尊
zuo	左
