# 《國語小字典》注音索引
# 共1173个音节（其中10个音节缺例字）
#
# https://dict.mini.moe.edu.tw/SearchIndex?type=zhuyin
#
# 拼音	注音	例字	字数

bī	ㄅㄧ	逼	1
bí	ㄅㄧˊ	鼻	1
bǐ	ㄅㄧˇ	妣	5
bì	ㄅㄧˋ	嗶	20
bǔ	ㄅㄨˇ	卜	4
bù	ㄅㄨˋ	不	8
biē	ㄅㄧㄝ		0
bié	ㄅㄧㄝˊ	別	1
biě	ㄅㄧㄝˇ	癟	1
biè	ㄅㄧㄝˋ	彆	1
biāo	ㄅㄧㄠ	彪	4
biǎo	ㄅㄧㄠˇ	表	2
biān	ㄅㄧㄢ	編	4
biǎn	ㄅㄧㄢˇ	匾	3
biàn	ㄅㄧㄢˋ	便	7
bīn	ㄅㄧㄣ	彬	6
bìn	ㄅㄧㄣˋ	臏	2
bīng	ㄅㄧㄥ	兵	2
bǐng	ㄅㄧㄥˇ	丙	7
bìng	ㄅㄧㄥˋ	並	5
bā	ㄅㄚ	八	11
bá	ㄅㄚˊ	拔	2
bǎ	ㄅㄚˇ	把	2
bà	ㄅㄚˋ	壩	5
ba	˙ㄅㄚ	吧	2
bō	ㄅㄛ	剝	7
bó	ㄅㄛˊ	伯	15
bǒ	ㄅㄛˇ	簸	2
bò	ㄅㄛˋ	播	3
bái	ㄅㄞˊ	白	1
bǎi	ㄅㄞˇ	佰	4
bài	ㄅㄞˋ	拜	2
bēi	ㄅㄟ	卑	6
běi	ㄅㄟˇ	北	1
bèi	ㄅㄟˋ	倍	11
bāo	ㄅㄠ	包	7
báo	ㄅㄠˊ	雹	1
bǎo	ㄅㄠˇ	保	6
bào	ㄅㄠˋ	刨	7
bān	ㄅㄢ	搬	5
bǎn	ㄅㄢˇ	板	5
bàn	ㄅㄢˋ	伴	7
bēn	ㄅㄣ	奔	1
běn	ㄅㄣˇ	本	2
bèn	ㄅㄣˋ	笨	1
bāng	ㄅㄤ	傍	3
bǎng	ㄅㄤˇ	榜	3
bàng	ㄅㄤˋ	傍	4
bēng	ㄅㄥ	崩	2
běng	ㄅㄥˇ	繃	1
bèng	ㄅㄥˋ	繃	3
pī	ㄆㄧ	劈	6
pí	ㄆㄧˊ	啤	6
pǐ	ㄆㄧˇ	匹	3
pì	ㄆㄧˋ	僻	5
pū	ㄆㄨ	仆	3
pú	ㄆㄨˊ	僕	9
pǔ	ㄆㄨˇ	圃	5
pù	ㄆㄨˋ	暴	4
piē	ㄆㄧㄝ	撇	2
piě	ㄆㄧㄝˇ	撇	1
piāo	ㄆㄧㄠ	漂	2
piáo	ㄆㄧㄠˊ	瓢	1
piǎo	ㄆㄧㄠˇ	漂	2
piào	ㄆㄧㄠˋ	漂	2
piān	ㄆㄧㄢ	偏	4
pián	ㄆㄧㄢˊ	便	2
piàn	ㄆㄧㄢˋ	片	2
pīn	ㄆㄧㄣ	拼	1
pín	ㄆㄧㄣˊ	貧	2
pǐn	ㄆㄧㄣˇ	品	1
pīng	ㄆㄧㄥ	乒	1
píng	ㄆㄧㄥˊ	坪	10
pìng	ㄆㄧㄥˋ	聘	1
pā	ㄆㄚ	啪	2
pá	ㄆㄚˊ	扒	5
pà	ㄆㄚˋ	帕	2
pō	ㄆㄛ	坡	2
pó	ㄆㄛˊ	婆	1
pǒ	ㄆㄛˇ	頗	1
pò	ㄆㄛˋ	珀	5
pāi	ㄆㄞ	拍	1
pái	ㄆㄞˊ	徘	3
pài	ㄆㄞˋ	派	2
pēi	ㄆㄟ	坏	2
péi	ㄆㄟˊ	培	4
pèi	ㄆㄟˋ	佩	4
pāo	ㄆㄠ	拋	2
páo	ㄆㄠˊ	刨	4
pǎo	ㄆㄠˇ	跑	1
pào	ㄆㄠˋ	泡	4
pǒu	ㄆㄡˇ	剖	1
pān	ㄆㄢ	攀	2
pán	ㄆㄢˊ	盤	4
pàn	ㄆㄢˋ	判	5
pēn	ㄆㄣ	噴	1
pén	ㄆㄣˊ	盆	1
pèn	ㄆㄣˋ	噴	1
pāng	ㄆㄤ	乓	3
páng	ㄆㄤˊ	彷	6
pàng	ㄆㄤˋ	胖	1
pēng	ㄆㄥ	澎	3
péng	ㄆㄥˊ	彭	9
pěng	ㄆㄥˇ	捧	1
pèng	ㄆㄥˋ	碰	1
mī	ㄇㄧ	咪	2
mí	ㄇㄧˊ	彌	8
mǐ	ㄇㄧˇ	米	2
mì	ㄇㄧˋ	密	8
mǔ	ㄇㄨˇ	姆	5
mù	ㄇㄨˋ	募	11
miē	ㄇㄧㄝ	咩	1
miè	ㄇㄧㄝˋ	滅	3
miāo	ㄇㄧㄠ	喵	1
miáo	ㄇㄧㄠˊ	描	3
miǎo	ㄇㄧㄠˇ	渺	3
miào	ㄇㄧㄠˋ	妙	3
miù	ㄇㄧㄡˋ	繆	2
mián	ㄇㄧㄢˊ	棉	3
miǎn	ㄇㄧㄢˇ	免	5
miàn	ㄇㄧㄢˋ	面	2
mín	ㄇㄧㄣˊ	岷	3
mǐn	ㄇㄧㄣˇ	憫	4
míng	ㄇㄧㄥˊ	冥	6
mìng	ㄇㄧㄥˋ	命	1
mā	ㄇㄚ	媽	2
