# 《國語注音符號手冊》“陸、國語音節表注音示例”（2000年11月書面版初版）
# 共1269个音节（忽略缺字的音节，无轻声）
#
# https://language.moe.gov.tw/001/Upload/files/site_content/M0001/juyin/index.html
#
# 其中部分存在读音问题参见备注说明：
# 濘	ㄋㄥˋ	
# 忸->沑	ㄋㄩˋ
# 舀->歪	ㄨㄞˇ
#
# 拼音	注音	例字	备注

zhī	ㄓ	之	
chī	ㄔ	蚩	
shī	ㄕ	尸	
zī	ㄗ	孜	
cī	ㄘ	雌	
sī	ㄙ	私	
zhí	ㄓˊ	直	
chí	ㄔˊ	池	
shí	ㄕˊ	時	
cí	ㄘˊ	祠	
zhǐ	ㄓˇ	止	
chǐ	ㄔˇ	恥	
shǐ	ㄕˇ	史	
zǐ	ㄗˇ	子	
cǐ	ㄘˇ	此	
sǐ	ㄙˇ	死	
zhì	ㄓˋ	志	
chì	ㄔˋ	翅	
shì	ㄕˋ	是	
rì	ㄖˋ	日	
zì	ㄗˋ	字	
cì	ㄘˋ	次	
sì	ㄙˋ	四	
bā	ㄅㄚ	巴	
pā	ㄆㄚ	趴	
mā	ㄇㄚ	媽	
fā	ㄈㄚ	發	
dā	ㄉㄚ	搭	
tā	ㄊㄚ	他	
nā	ㄋㄚ	那	
lā	ㄌㄚ	拉	
gā	ㄍㄚ	旮	
kā	ㄎㄚ	咖	
hā	ㄏㄚ	哈	
zhā	ㄓㄚ	扎	
chā	ㄔㄚ	叉	
shā	ㄕㄚ	沙	
zā	ㄗㄚ	紮	
cā	ㄘㄚ	擦	
sā	ㄙㄚ	撒	
ā	ㄚ	啊	
bá	ㄅㄚˊ	拔	
pá	ㄆㄚˊ	爬	
má	ㄇㄚˊ	麻	
fá	ㄈㄚˊ	乏	
dá	ㄉㄚˊ	答	
ná	ㄋㄚˊ	拿	
lá	ㄌㄚˊ	邋	
gá	ㄍㄚˊ	噶	
há	ㄏㄚˊ	蝦	
zhá	ㄓㄚˊ	紮	
chá	ㄔㄚˊ	茶	
shá	ㄕㄚˊ	啥	
zá	ㄗㄚˊ	咱	
á	ㄚˊ	嗄	
bǎ	ㄅㄚˇ	把	
mǎ	ㄇㄚˇ	馬	
fǎ	ㄈㄚˇ	髮	
dǎ	ㄉㄚˇ	打	
tǎ	ㄊㄚˇ	塔	
nǎ	ㄋㄚˇ	哪	
lǎ	ㄌㄚˇ	喇	
kǎ	ㄎㄚˇ	卡	
hǎ	ㄏㄚˇ	哈	
zhǎ	ㄓㄚˇ	眨	
shǎ	ㄕㄚˇ	傻	
cǎ	ㄘㄚˇ	礤	
sǎ	ㄙㄚˇ	灑	
bà	ㄅㄚˋ	爸	
pà	ㄆㄚˋ	怕	
mà	ㄇㄚˋ	罵	
fà	ㄈㄚˋ	琺	
dà	ㄉㄚˋ	大	
tà	ㄊㄚˋ	沓	
nà	ㄋㄚˋ	那	
là	ㄌㄚˋ	辣	
gà	ㄍㄚˋ	尬	
kà	ㄎㄚˋ	喀	
zhà	ㄓㄚˋ	乍	
chà	ㄔㄚˋ	岔	
shà	ㄕㄚˋ	煞	
sà	ㄙㄚˋ	薩	
à	ㄚˋ	阿	
bō	ㄅㄛ	玻	
pō	ㄆㄛ	坡	
mō	ㄇㄛ	摸	
lō	ㄌㄛ	*咯	輕聲變韻
ō	ㄛ	喔	
bó	ㄅㄛˊ	柏	
pó	ㄆㄛˊ	婆	
mó	ㄇㄛˊ	模	
fó	ㄈㄛˊ	佛	
ó	ㄛˊ	哦	
bǒ	ㄅㄛˇ	跛	
pǒ	ㄆㄛˇ	叵	
mǒ	ㄇㄛˇ	抹	
ǒ	ㄛˇ	嚄	
bò	ㄅㄛˋ	播	
pò	ㄆㄛˋ	破	
mò	ㄇㄛˋ	末	
mē	ㄇㄜ	*麼	輕聲變韻
gē	ㄍㄜ	哥	
kē	ㄎㄜ	科	
hē	ㄏㄜ	訶	
zhē	ㄓㄜ	遮	
chē	ㄔㄜ	車	
shē	ㄕㄜ	奢	
ē	ㄜ	痾	
dé	ㄉㄜˊ	德	
gé	ㄍㄜˊ	閣	
ké	ㄎㄜˊ	咳	
hé	ㄏㄜˊ	禾	
zhé	ㄓㄜˊ	蜇	
shé	ㄕㄜˊ	蛇	
zé	ㄗㄜˊ	則	
é	ㄜˊ	娥	
gě	ㄍㄜˇ	葛	
kě	ㄎㄜˇ	可	
zhě	ㄓㄜˇ	者	
chě	ㄔㄜˇ	扯	
shě	ㄕㄜˇ	捨	
rě	ㄖㄜˇ	惹	
zě	ㄗㄜˇ	怎	
ě	ㄜˇ	噁	
tè	ㄊㄜˋ	特	
nè	ㄋㄜˋ	訥	
lè	ㄌㄜˋ	肋	
gè	ㄍㄜˋ	各	
kè	ㄎㄜˋ	課	
hè	ㄏㄜˋ	賀	
zhè	ㄓㄜˋ	這	
chè	ㄔㄜˋ	澈	
shè	ㄕㄜˋ	射	
rè	ㄖㄜˋ	熱	
zè	ㄗㄜˋ	仄	
cè	ㄘㄜˋ	測	
sè	ㄙㄜˋ	色	
è	ㄜˋ	餓	
ề	ㄝˋ	誒	
bāi	ㄅㄞ	掰	
pāi	ㄆㄞ	拍	
dāi	ㄉㄞ	呆	
tāi	ㄊㄞ	胎	
gāi	ㄍㄞ	該	
kāi	ㄎㄞ	開	
hāi	ㄏㄞ	咳	
zhāi	ㄓㄞ	摘	
chāi	ㄔㄞ	拆	
shāi	ㄕㄞ	篩	
zāi	ㄗㄞ	災	
cāi	ㄘㄞ	猜	
sāi	ㄙㄞ	腮	
āi	ㄞ	哀	
bái	ㄅㄞˊ	白	
pái	ㄆㄞˊ	排	
mái	ㄇㄞˊ	埋	
tái	ㄊㄞˊ	臺	
lái	ㄌㄞˊ	來	
hái	ㄏㄞˊ	孩	
zhái	ㄓㄞˊ	宅	
chái	ㄔㄞˊ	柴	
cái	ㄘㄞˊ	才	
ái	ㄞˊ	皚	
bǎi	ㄅㄞˇ	擺	
pǎi	ㄆㄞˇ	排	
mǎi	ㄇㄞˇ	買	
dǎi	ㄉㄞˇ	歹	
nǎi	ㄋㄞˇ	乃	
gǎi	ㄍㄞˇ	改	
kǎi	ㄎㄞˇ	楷	
hǎi	ㄏㄞˇ	海	
zhǎi	ㄓㄞˇ	窄	
shǎi	ㄕㄞˇ	色	
zǎi	ㄗㄞˇ	宰	
cǎi	ㄘㄞˇ	采	
ǎi	ㄞˇ	藹	
bài	ㄅㄞˋ	敗	
pài	ㄆㄞˋ	派	
mài	ㄇㄞˋ	賣	
dài	ㄉㄞˋ	代	
tài	ㄊㄞˋ	太	
nài	ㄋㄞˋ	奈	
lài	ㄌㄞˋ	賴	
gài	ㄍㄞˋ	丐	
kài	ㄎㄞˋ	愾	
hài	ㄏㄞˋ	害	
zhài	ㄓㄞˋ	債	
chài	ㄔㄞˋ	瘥	
shài	ㄕㄞˋ	晒	
zài	ㄗㄞˋ	再	
