# 《國語辭典簡編本》注音索引
# 共1224个音节
#
# https://dict.concised.moe.edu.tw/searchP.jsp
#
# 拼音	注音	例字	字数

bā	ㄅㄚ	八	11
bá	ㄅㄚˊ	拔	3
bǎ	ㄅㄚˇ	把	2
bà	ㄅㄚˋ	把	6
ba	˙ㄅㄚ	吧	2
bō	ㄅㄛ	波	9
bó	ㄅㄛˊ	百	19
bǒ	ㄅㄛˇ	跛	2
bò	ㄅㄛˋ	播	4
bāi	ㄅㄞ	掰	1
bái	ㄅㄞˊ	白	1
bǎi	ㄅㄞˇ	百	4
bài	ㄅㄞˋ	拜	4
bēi	ㄅㄟ	杯	8
běi	ㄅㄟˇ	北	1
bèi	ㄅㄟˋ	貝	11
bāo	ㄅㄠ	包	7
báo	ㄅㄠˊ	雹	1
bǎo	ㄅㄠˇ	保	7
bào	ㄅㄠˋ	刨	9
bān	ㄅㄢ	扳	6
bǎn	ㄅㄢˇ	阪	6
bàn	ㄅㄢˋ	半	7
bēn	ㄅㄣ	奔	2
běn	ㄅㄣˇ	本	3
bèn	ㄅㄣˋ	笨	1
bāng	ㄅㄤ	邦	4
bǎng	ㄅㄤˇ	綁	3
bàng	ㄅㄤˋ	旁	9
bēng	ㄅㄥ	崩	2
béng	ㄅㄥˊ	甭	1
běng	ㄅㄥˇ	繃	1
bèng	ㄅㄥˋ	泵	5
bī	ㄅㄧ	逼	1
bí	ㄅㄧˊ	荸	2
bǐ	ㄅㄧˇ	匕	6
bì	ㄅㄧˋ	比	42
biē	ㄅㄧㄝ	憋	2
bié	ㄅㄧㄝˊ	別	2
biě	ㄅㄧㄝˇ	癟	1
biè	ㄅㄧㄝˋ	彆	1
biāo	ㄅㄧㄠ	杓	7
biǎo	ㄅㄧㄠˇ	表	4
biào	ㄅㄧㄠˋ	摽	2
biān	ㄅㄧㄢ	砭	6
biǎn	ㄅㄧㄢˇ	扁	5
biàn	ㄅㄧㄢˋ	卞	9
bīn	ㄅㄧㄣ	彬	8
bìn	ㄅㄧㄣˋ	擯	4
bīng	ㄅㄧㄥ	并	4
bǐng	ㄅㄧㄥˇ	丙	7
bìng	ㄅㄧㄥˋ	并	5
bū	ㄅㄨ	逋	2
bǔ	ㄅㄨˇ	卜	4
bù	ㄅㄨˋ	不	9
pā	ㄆㄚ	趴	3
pá	ㄆㄚˊ	扒	5
pà	ㄆㄚˋ	怕	2
pō	ㄆㄛ	坡	2
pó	ㄆㄛˊ	婆	4
pǒ	ㄆㄛˇ	叵	2
pò	ㄆㄛˋ	朴	7
pāi	ㄆㄞ	拍	1
pái	ㄆㄞˊ	俳	4
pǎi	ㄆㄞˇ	排	1
pài	ㄆㄞˋ	派	2
pēi	ㄆㄟ	坯	5
péi	ㄆㄟˊ	培	4
pèi	ㄆㄟˋ	沛	8
pāo	ㄆㄠ	泡	2
páo	ㄆㄠˊ	刨	7
pǎo	ㄆㄠˇ	跑	1
pào	ㄆㄠˋ	泡	5
pǒu	ㄆㄡˇ	剖	2
pān	ㄆㄢ	番	3
pán	ㄆㄢˊ	胖	6
pàn	ㄆㄢˋ	判	6
pēn	ㄆㄣ	噴	1
pén	ㄆㄣˊ	盆	1
pèn	ㄆㄣˋ	噴	1
pāng	ㄆㄤ	乓	4
páng	ㄆㄤˊ	彷	10
pàng	ㄆㄤˋ	胖	1
pēng	ㄆㄥ	亨	6
péng	ㄆㄥˊ	芃	11
pěng	ㄆㄥˇ	捧	1
pèng	ㄆㄥˋ	椪	2
pī	ㄆㄧ	匹	9
pí	ㄆㄧˊ	比	14
pǐ	ㄆㄧˇ	匹	8
pì	ㄆㄧˋ	屁	7
piē	ㄆㄧㄝ	撇	2
piě	ㄆㄧㄝˇ	撇	1
piāo	ㄆㄧㄠ	漂	3
piáo	ㄆㄧㄠˊ	朴	3
piǎo	ㄆㄧㄠˇ	漂	4
piào	ㄆㄧㄠˋ	票	5
piān	ㄆㄧㄢ	扁	4
pián	ㄆㄧㄢˊ	便	3
piàn	ㄆㄧㄢˋ	片	2
pīn	ㄆㄧㄣ	拼	2
pín	ㄆㄧㄣˊ	貧	5
pǐn	ㄆㄧㄣˇ	品	1
pìn	ㄆㄧㄣˋ	牝	1
pīng	ㄆㄧㄥ	乒	2
píng	ㄆㄧㄥˊ	平	12
pìng	ㄆㄧㄥˋ	聘	1
pū	ㄆㄨ	仆	4
pú	ㄆㄨˊ	朴	11
pǔ	ㄆㄨˇ	浦	7
pù	ㄆㄨˋ	暴	4
mā	ㄇㄚ	媽	2
má	ㄇㄚˊ	麻	5
mǎ	ㄇㄚˇ	馬	5
mà	ㄇㄚˋ	罵	2
ma	˙ㄇㄚ	嗎	2
mō	ㄇㄛ	摸	1
mó	ㄇㄛˊ	無	12
mǒ	ㄇㄛˇ	抹	1
mò	ㄇㄛˋ	万	22
me	˙ㄇㄜ	麼	1
mái	ㄇㄞˊ	埋	2
mǎi	ㄇㄞˇ	買	1
mài	ㄇㄞˋ	脈	4
méi	ㄇㄟˊ	沒	14
měi	ㄇㄟˇ	每	3
mèi	ㄇㄟˋ	妹	7
māo	ㄇㄠ	貓	1
máo	ㄇㄠˊ	毛	7
mǎo	ㄇㄠˇ	卯	4
mào	ㄇㄠˋ	茂	9
móu	ㄇㄡˊ	牟	6
mǒu	ㄇㄡˇ	冇	2
mān	ㄇㄢ	屘	1
mán	ㄇㄢˊ	埋	9
mǎn	ㄇㄢˇ	滿	1
màn	ㄇㄢˋ	曼	9
mēn	ㄇㄣ	悶	1
mén	ㄇㄣˊ	門	3
mèn	ㄇㄣˋ	悶	3
men	˙ㄇㄣ	們	1
máng	ㄇㄤˊ	忙	5
mǎng	ㄇㄤˇ	莽	2
mēng	ㄇㄥ	矇	1
méng	ㄇㄥˊ	矇	12
měng	ㄇㄥˇ	猛	4
mèng	ㄇㄥˋ	孟	2
mī	ㄇㄧ	咪	2
mí	ㄇㄧˊ	迷	9
mǐ	ㄇㄧˇ	米	4
mì	ㄇㄧˋ	糸	11
miē	ㄇㄧㄝ	乜	2
miè	ㄇㄧㄝˋ	滅	4
miāo	ㄇㄧㄠ	喵	1
miáo	ㄇㄧㄠˊ	苗	3
miǎo	ㄇㄧㄠˇ	杪	8
miào	ㄇㄧㄠˋ	妙	3
miù	ㄇㄧㄡˋ	繆	2
mián	ㄇㄧㄢˊ	眠	3
miǎn	ㄇㄧㄢˇ	丏	10
miàn	ㄇㄧㄢˋ	面	3
mín	ㄇㄧㄣˊ	民	4
mǐn	ㄇㄧㄣˇ	皿	11
míng	ㄇㄧㄥˊ	名	11
mìng	ㄇㄧㄥˋ	命	1
mǔ	ㄇㄨˇ	母	8
mù	ㄇㄨˋ	木	14
fā	ㄈㄚ	伐	2
fá	ㄈㄚˊ	乏	5
fǎ	ㄈㄚˇ	法	3
fà	ㄈㄚˋ	琺	1
fó	ㄈㄛˊ	佛	1
fēi	ㄈㄟ	妃	9
féi	ㄈㄟˊ	肥	3
fěi	ㄈㄟˇ	匪	8
fèi	ㄈㄟˋ	吠	8
fǒu	ㄈㄡˇ	不	3
fān	ㄈㄢ	番	5
fán	ㄈㄢˊ	凡	10
fǎn	ㄈㄢˇ	反	2
fàn	ㄈㄢˋ	氾	9
fēn	ㄈㄣ	分	8
fén	ㄈㄣˊ	汾	4
fěn	ㄈㄣˇ	粉	1
fèn	ㄈㄣˋ	分	6
fāng	ㄈㄤ	方	4
fáng	ㄈㄤˊ	坊	5
fǎng	ㄈㄤˇ	仿	9
fàng	ㄈㄤˋ	放	1
fēng	ㄈㄥ	丰	11
féng	ㄈㄥˊ	逢	3
fèng	ㄈㄥˋ	奉	6
fū	ㄈㄨ	夫	7
fú	ㄈㄨˊ	夫	32
fǔ	ㄈㄨˇ	父	15
fù	ㄈㄨˋ	父	19
dā	ㄉㄚ	耷	5
dá	ㄉㄚˊ	妲	7
dǎ	ㄉㄚˇ	打	1
dà	ㄉㄚˋ	大	1
