# 汉典-字典拼音索引和对照
# 合计共422个音节（两表共有406个）
#
# 字典拼音索引 https://www.zdic.net/zd/py/
# 汉语拼音与其他拼音系统对照表 https://www.zdic.net/ts/fulu/2019/05/18.html
#
# 备注：
# 字典拼音索引：共415个音节；
# 汉语拼音与其他拼音系统对照表：共413个音节。
# 只在索引中的包括9个: dia, n, hng, ng, kei, yo, rua, hm, m；
# 只在对照表的包括7个: diang, shong, lün, nun, nia, lüan, sei。
#
# 拼音	注音	例字

a	ㄚ	啊
ai	ㄞ	哀
an	ㄢ	安
ang	ㄤ	肮
ao	ㄠ	熬
ba	ㄅㄚ	八
bai	ㄅㄞ	白
ban	ㄅㄢ	班
bang	ㄅㄤ	帮
bao	ㄅㄠ	包
bei	ㄅㄟ	杯
ben	ㄅㄣ	奔
beng	ㄅㄥ	崩
bi	ㄅㄧ	逼
bian	ㄅㄧㄢ	边
biao	ㄅㄧㄠ	标
bie	ㄅㄧㄝ	别
bin	ㄅㄧㄣ	宾
bing	ㄅㄧㄥ	兵
bo	ㄅㄛ	玻
bu	ㄅㄨ	不
ca	ㄘㄚ	擦
cai	ㄘㄞ	猜
can	ㄘㄢ	餐
cang	ㄘㄤ	仓
cao	ㄘㄠ	操
ce	ㄘㄜ	策
cen	ㄘㄣ	岑
ceng	ㄘㄥ	层
cha	ㄔㄚ	插
chai	ㄔㄞ	拆
chan	ㄔㄢ	搀
chang	ㄔㄤ	昌
chao	ㄔㄠ	超
che	ㄔㄜ	车
chen	ㄔㄣ	尘
cheng	ㄔㄥ	称
chi	ㄔ	吃
chong	ㄔㄨㄥ	充
chou	ㄔㄡ	抽
chu	ㄔㄨ	初
chua	ㄔㄨㄚ	欻
chuai	ㄔㄨㄞ	揣
chuan	ㄔㄨㄢ	川
chuang	ㄔㄨㄤ	窗
chui	ㄔㄨㄟ	吹
chun	ㄔㄨㄣ	春
chuo	ㄔㄨㄛ	戳
ci	ㄘ	词
cong	ㄘㄨㄥ	聪
cou	ㄘㄡ	凑
cu	ㄘㄨ	粗
cuan	ㄘㄨㄢ	撺
cui	ㄘㄨㄟ	崔
cun	ㄘㄨㄣ	村
cuo	ㄘㄨㄛ	搓
da	ㄉㄚ	搭
dai	ㄉㄞ	呆
dan	ㄉㄢ	丹
dang	ㄉㄤ	当
dao	ㄉㄠ	刀
de	ㄉㄜ	德
dei	ㄉㄟ	得
den	ㄉㄣ	扽
deng	ㄉㄥ	登
di	ㄉㄧ	低
dia		嗲
dian	ㄉㄧㄢ	颠
diang	ㄉㄧㄤ	
diao	ㄉㄧㄠ	刁
die	ㄉㄧㄝ	爹
ding	ㄉㄧㄥ	丁
diu	ㄉㄧㄡ	丢
dong	ㄉㄨㄥ	东
dou	ㄉㄡ	兜
du	ㄉㄨ	都
duan	ㄉㄨㄢ	端
dui	ㄉㄨㄟ	堆
dun	ㄉㄨㄣ	吨
duo	ㄉㄨㄛ	多
e	ㄜ	鹅
ei	ㄟ	诶
en	ㄣ	恩
eng	ㄥ	鞥
er	ㄦ	儿
