# 现代汉语音节汇总（无声调）
# 共有426个音节。
#
# 说明：汇总自“汉语音节统计汇总”，相关字段可参考其中说明，标记☆为399个基础音节（仅供参考），例子2标注403个音节；
# gue、nui暂未找到例字，暂不列入；
# 声母韵母说明：
# - 声母、韵母以《现代汉语拼音方案》为准，声母21个（并外加一个“零声母”，而y、w不视为声母）、韵母35个（并外加儿化音er和ê）；
# - 对iu、ui、un缩写（前有声母）使用原形iou、uei、uen；
# - 对i、u、ü行的也使用原形；
# - 对特殊音节hm、hng、m、n、ng以及q、yai、yo不标注声母、韵母。
#
# 拼音	注音	声母	韵母	例字	例子2	字数1	字数2	状态	标记

a	ㄚ		a	啊	啊	7	5	※	☆
ai	ㄞ		ai	哀	哀	29	36	※	☆
an	ㄢ		an	安	安	28	31	※	☆
ang	ㄤ		ang	肮	肮	5	6	※	☆
ao	ㄠ		ao	熬	熬	36	34	※	☆
ba	ㄅㄚ	b	a	八	八	39	35	※	☆
bai	ㄅㄞ	b	ai	白	百	17	15	※	☆
ban	ㄅㄢ	b	an	班	班	30	28	※	☆
bang	ㄅㄤ	b	ang	帮	帮	22	19	※	☆
bao	ㄅㄠ	b	ao	包	包	31	37	※	☆
bei	ㄅㄟ	b	ei	杯	悲	37	53	※	☆
ben	ㄅㄣ	b	en	奔	奔	13	9	※	☆
beng	ㄅㄥ	b	eng	崩	崩	16	15	※	☆
bi	ㄅㄧ	b	i	逼	比	88	105	※	☆
bian	ㄅㄧㄢ	b	ian	边	边	35	37	※	☆
biang	ㄅㄧㄤ	b	iang	𰻝				‽	
biao	ㄅㄧㄠ	b	iao	标	标	27	30	※	☆
bie	ㄅㄧㄝ	b	ie	别	别	6	11	※	☆
bin	ㄅㄧㄣ	b	in	宾	宾	17	21	※	☆
bing	ㄅㄧㄥ	b	ing	兵	兵	18	26	※	☆
bo	ㄅㄛ	b	o	玻	波	57	87	※	☆
bu	ㄅㄨ	b	u	不	不	28	22	※	☆
ca	ㄘㄚ	c	a	擦	擦	4	4	※	☆
cai	ㄘㄞ	c	ai	猜	才	14	18	※	☆
can	ㄘㄢ	c	an	餐	参	17	15	※	☆
cang	ㄘㄤ	c	ang	仓	仓	7	8	※	☆
cao	ㄘㄠ	c	ao	操	操	12	15	※	☆
ce	ㄘㄜ	c	e	策	册	7	9	※	☆
cei	ㄘㄟ	c	ei	𤭢		1			
cen	ㄘㄣ	c	en	岑	参	3	5	※	☆
ceng	ㄘㄥ	c	eng	层	层	5	6	※	☆
cha	ㄔㄚ	ch	a	插	查	34	28	※	☆
chai	ㄔㄞ	ch	ai	拆	柴	10	13	※	☆
chan	ㄔㄢ	ch	an	搀	产	43	55	※	☆
chang	ㄔㄤ	ch	ang	昌	长	32	35	※	☆
chao	ㄔㄠ	ch	ao	超	抄	17	22	※	☆
che	ㄔㄜ	ch	e	车	车	12	17	※	☆
chen	ㄔㄣ	ch	en	尘	晨	35	36	※	☆
cheng	ㄔㄥ	ch	eng	称	成	42	47	※	☆
chi	ㄔ	ch	i	吃	吃	54	67	※	☆
chong	ㄔㄨㄥ	ch	ong	充	充	22	19	※	☆
chou	ㄔㄡ	ch	ou	抽	抽	26	35	※	☆
chu	ㄔㄨ	ch	u	初	出	43	48	※	☆
chua	ㄔㄨㄚ	ch	ua	欻		1	3	※	
chuai	ㄔㄨㄞ	ch	uai	揣	揣	8	6	※	☆
chuan	ㄔㄨㄢ	ch	uan	川	川	16	17	※	☆
chuang	ㄔㄨㄤ	ch	uang	窗	创	10	16	※	☆
chui	ㄔㄨㄟ	ch	uei	吹	吹	11	16	※	☆
chun	ㄔㄨㄣ	ch	uen	春	春	16	16	※	☆
chuo	ㄔㄨㄛ	ch	uo	戳	绰	13	13	※	☆
ci	ㄘ	c	i	词	词	29	32	※	☆
cong	ㄘㄨㄥ	c	ong	聪	聪	18	19	※	☆
cou	ㄘㄡ	c	ou	凑	凑	3	4	※	☆
cu	ㄘㄨ	c	u	粗	粗	16	25	※	☆
cuan	ㄘㄨㄢ	c	uan	撺	窜	9	10	※	☆
cui	ㄘㄨㄟ	c	uei	崔	崔	22	30	※	☆
cun	ㄘㄨㄣ	c	uen	村	村	10	9	※	☆
cuo	ㄘㄨㄛ	c	uo	搓	错	20	26	※	☆
da	ㄉㄚ	d	a	搭	大	29	18	※	☆
dai	ㄉㄞ	d	ai	呆	呆	28	28	※	☆
dan	ㄉㄢ	d	an	丹	单	41	48	※	☆
dang	ㄉㄤ	d	ang	当	当	20	19	※	☆
dao	ㄉㄠ	d	ao	刀	刀	22	23	※	☆
de	ㄉㄜ	d	e	德	德	8	6	※	☆
dei	ㄉㄟ	d	ei	得	得	2	1	※	
den	ㄉㄣ	d	en	扽	扽	1	1	※	
