# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

ā	a1	ㄚ		阿	6	4	※
á	a2	ㄚˊ		啊	3	1	※
ǎ	a3	ㄚˇ		啊	2		
à	a4	ㄚˋ		啊	2	1	※
a	a5	˙ㄚ		啊	3	1	※
āi	ai1	ㄞ		哀	9	6	※
ái	ai2	ㄞˊ		癌	4	10	※
ǎi	ai3	ㄞˇ		矮	6	7	※
ài	ai4	ㄞˋ		爱	15	16	※
ān	an1	ㄢ		安	15	14	※
án	an2	ㄢˊ		啽		1	
ǎn	an3	ㄢˇ		俺	7	6	※
àn	an4	ㄢˋ		岸	7	13	※
āng	ang1	ㄤ		肮	1	2	※
áng	ang2	ㄤˊ		昂	2	2	※
ǎng	ang3	ㄤˇ		𦫫			‽
àng	ang4	ㄤˋ		盎	2	2	※
āo	ao1	ㄠ		熬	3	4	※
áo	ao2	ㄠˊ		熬	16	17	※
ǎo	ao3	ㄠˇ		袄	4	5	※
ào	ao4	ㄠˋ		傲	15	15	※
bā	ba1	ㄅㄚ		八	17	13	※
bá	ba2	ㄅㄚˊ		拔	7	9	※
bǎ	ba3	ㄅㄚˇ		靶	4	3	※
bà	ba4	ㄅㄚˋ		坝	12	10	※
ba	ba5	˙ㄅㄚ		吧	2	4	※
bāi	bai1	ㄅㄞ		掰	4	1	※
bái	bai2	ㄅㄞˊ		白	2	1	※
bǎi	bai3	ㄅㄞˇ		百	6	8	※
bài	bai4	ㄅㄞˋ		败	5	5	※
bai	bai5	˙ㄅㄞ		㗑	1		
bān	ban1	ㄅㄢ		班	11	9	※
bǎn	ban3	ㄅㄢˇ		板	8	10	※
bàn	ban4	ㄅㄢˋ		办	11	9	※
bāng	bang1	ㄅㄤ		帮	5	4	※
bǎng	bang3	ㄅㄤˇ		绑	3	4	※
bàng	bang4	ㄅㄤˋ		棒	16	13	※
bāo	bao1	ㄅㄠ		包	10	12	※
báo	bao2	ㄅㄠˊ		雹	3	2	※
bǎo	bao3	ㄅㄠˇ		饱	7	8	※
bào	bao4	ㄅㄠˋ		报	11	15	※
bēi	bei1	ㄅㄟ		杯	10	18	※
běi	bei3	ㄅㄟˇ		北	1	2	※
bèi	bei4	ㄅㄟˋ		贝	25	34	※
bei	bei5	˙ㄅㄟ		臂	2	1	※
bēn	ben1	ㄅㄣ		奔	5	3	※
běn	ben3	ㄅㄣˇ		本	3	3	※
bèn	ben4	ㄅㄣˋ		笨	6	4	※
bēng	beng1	ㄅㄥ		崩	5	5	※
béng	beng2	ㄅㄥˊ		甭	1	1	※
běng	beng3	ㄅㄥˇ		绷	5	3	※
bèng	beng4	ㄅㄥˋ		泵	7	8	※
bī	bi1	ㄅㄧ	ㄅ丨	逼	4	4	※
bí	bi2	ㄅㄧˊ	ㄅ丨ˊ	鼻	2	2	※
bǐ	bi3	ㄅㄧˇ	ㄅ丨ˇ	匕	14	11	※
bì	bi4	ㄅㄧˋ	ㄅ丨ˋ	币	68	92	※
biān	bian1	ㄅㄧㄢ	ㄅ丨ㄢ	边	10	10	※
bián	bian2	ㄅㄧㄢˊ	ㄅ丨ㄢˊ				‽
biǎn	bian3	ㄅㄧㄢˇ	ㄅ丨ㄢˇ	贬	10	10	※
biàn	bian4	ㄅㄧㄢˋ	ㄅ丨ㄢˋ	变	16	18	※
biáng	biang2	ㄅㄧㄤˊ	ㄅ丨ㄤˊ	𰻝			‽
biāo	biao1	ㄅㄧㄠ	ㄅ丨ㄠ	标	20	23	※
biǎo	biao3	ㄅㄧㄠˇ	ㄅ丨ㄠˇ	表	5	6	※
biào	biao4	ㄅㄧㄠˋ	ㄅ丨ㄠˋ	俵	3	2	※
biē	bie1	ㄅㄧㄝ	ㄅ丨ㄝ	憋	3	3	※
bié	bie2	ㄅㄧㄝˊ	ㄅ丨ㄝˊ	别	3	6	※
biě	bie3	ㄅㄧㄝˇ	ㄅ丨ㄝˇ	瘪	1	1	※
biè	bie4	ㄅㄧㄝˋ	ㄅ丨ㄝˋ	别	1	1	※
bīn	bin1	ㄅㄧㄣ	ㄅ丨ㄣ	宾	12	16	※
bǐn	bin3	ㄅㄧㄣˇ	ㄅ丨ㄣˇ				‽
bìn	bin4	ㄅㄧㄣˋ	ㄅ丨ㄣˋ	鬓	5	7	※
bīng	bing1	ㄅㄧㄥ	ㄅ丨ㄥ	兵	6	8	※
bǐng	bing3	ㄅㄧㄥˇ	ㄅ丨ㄥˇ	丙	11	13	※
bìng	bing4	ㄅㄧㄥˋ	ㄅ丨ㄥˋ	病	3	8	※
bō	bo1	ㄅㄛ		玻	16	17	※
bó	bo2	ㄅㄛˊ		驳	34	60	※
bǒ	bo3	ㄅㄛˇ		跛	3	2	※
bò	bo4	ㄅㄛˋ		薄	5	10	※
bo	bo5	˙ㄅㄛ		卜	2	2	※
bū	bu1	ㄅㄨ		逋	4	3	※
bú	bu2	ㄅㄨˊ		醭	1	2	※
bǔ	bu3	ㄅㄨˇ		补	7	6	※
bù	bu4	ㄅㄨˋ		不	16	14	※
cā	ca1	ㄘㄚ		擦	3	2	※
cǎ	ca3	ㄘㄚˇ		礤	1	1	※
cà	ca4	ㄘㄚˋ		囃		1	
cāi	cai1	ㄘㄞ		猜	2	1	※
cái	cai2	ㄘㄞˊ		才	4	5	※
cǎi	cai3	ㄘㄞˇ		彩	5	9	※
