# 漢語多功能字庫-普通話音節表
# 共403个音节
#
# https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/mandarin_syllables.php
# 备注：例字中“zhuan 賺”改成“zhuan 专”（“賺”多音字重复出现）
#
# 拼音	例字

a	阿
o	哦
e	餓
er	兒
ai	愛
ei	誒
ao	奧
ou	偶
an	安
en	恩
ang	昂
ba	巴
bo	玻
bai	拜
bei	被
bao	包
ban	班
ben	本
bang	幫
beng	崩
bi	比
biao	表
bie	別
bian	變
bin	賓
bing	病
bu	不
ca	擦
ce	測
cai	菜
cao	草
cou	凑
can	餐
cen	岑
cang	藏
ceng	層
cong	從
ci	詞
cu	粗
cuo	錯
cui	脆
cuan	篡
cun	村
cha	插
che	車
chai	拆
chao	炒
chou	醜
chan	產
chen	陳
chang	長
cheng	城
chong	蟲
chi	吃
chu	出
chua	欻
chuo	戳
chuai	踹
chui	吹
chuan	傳
chun	春
chuang	床
da	大
de	的
dai	帶
dei	得
dao	到
dou	都
dan	單
dang	當
deng	等
dong	動
di	地
diao	調
die	跌
diu	丟
dian	點
ding	定
du	讀
duo	多
dui	對
duan	短
dun	頓
fa	發
fo	佛
fei	非
fou	否
fan	飯
fen	分
fang	房
feng	風
fu	父
ga	嘎
ge	哥
gai	該
gei	給
gao	高
gou	狗
gan	肝
gen	跟
gang	港
geng	更
gong	工
gu	古
gua	瓜
guo	國
guai	怪
gui	貴
guan	管
gun	棍
guang	光
ha	哈
he	喝
hai	海
hei	黑
hao	好
hou	後
han	汗
hen	很
hang	杭
heng	橫
hong	紅
hu	虎
hua	花
huo	火
huai	壞
hui	會
huan	換
hun	混
huang	黃
ji	雞
jia	家
jiao	教
jie	借
jiu	就
jian	見
jin	金
jiang	講
jing	井
jiong	窘
ju	句
jue	覺
juan	卷
jun	君
ka	卡
ke	科
kai	開
kao	考
kou	口
kan	看
ken	肯
kang	康
keng	坑
kong	空
ku	哭
kua	誇
kuo	闊
kuai	快
kui	虧
kuan	寬
kun	困
kuang	狂
la	拉
le	樂
lai	來
lei	累
lao	老
lou	樓
lan	藍
lang	狼
leng	冷
long	龍
li	李
lia	倆
liao	聊
lie	列
liu	流
lian	臉
lin	林
liang	量
ling	令
lu	路
lü	綠
luo	落
luan	亂
lüe	掠
lun	論
ma	媽
mo	摸
me	麼
mai	買
mei	妹
mao	毛
mou	某
man	慢
men	門
mang	忙
meng	夢
mi	米
miao	秒
mie	滅
miu	謬
mian	免
min	民
ming	命
mu	木
na	那
ne	呢
nai	耐
nei	內
nao	腦
nou	耨
nan	男
nen	嫩
nang	囊
neng	能
nong	農
ni	你
niao	鳥
nie	鎳
niu	牛
nian	年
nin	您
niang	娘
ning	凝
nu	怒
nü	女
nüe	虐
nuo	諾
nuan	暖
nun	黁
pa	怕
po	坡
pai	拍
pei	配
pao	跑
pou	剖
pan	盤
pen	盆
pang	旁
peng	鵬
pi	皮
piao	票
pie	瞥
pian	片
pin	品
ping	平
pu	鋪
qi	氣
qia	掐
qiao	巧
qie	切
qiu	球
qian	錢
qin	親
qiang	強
qing	請
qiong	窮
qu	去
que	缺
quan	全
qun	群
re	熱
rao	繞
rou	肉
ran	然
ren	人
rang	讓
reng	扔
rong	容
ri	日
ru	如
ruo	弱
rui	瑞
ruan	軟
run	閏
sa	撒
se	色
sai	賽
sao	掃
sou	搜
san	三
sen	森
sang	喪
seng	僧
song	送
si	死
su	素
suo	所
sui	歲
suan	算
sun	孫
sha	紗
she	蛇
shai	曬
shao	燒
shou	手
shan	山
shen	神
shang	上
sheng	生
shi	事
shu	書
shua	刷
shuo	說
shuai	摔
shui	水
shuan	栓
shun	順
shuang	雙
ta	他
te	特
tai	台
tao	桃
tou	偷
tan	談
tang	糖
teng	疼
tong	痛
ti	提
tiao	條
tie	鐵
tian	天
ting	停
tu	土
tuo	拖
tui	退
tuan	團
tun	吞
wu	無
wa	挖
wo	我
wai	外
wei	為
wan	玩
wen	問
wang	王
weng	翁
xi	戲
xia	下
xiao	小
xie	寫
xiu	休
xian	先
xin	新
xiang	鄉
xing	形
xiong	熊
xu	須
xue	學
xuan	選
xun	訓
yi	一
ya	牙
yao	要
ye	野
you	有
yan	眼
yin	音
yang	羊
ying	影
yong	用
yu	魚
yue	月
yuan	遠
yun	暈
za	雜
ze	則
zai	災
zei	賊
zao	早
zou	走
zan	贊
zen	怎
zang	葬
zeng	增
zong	宗
zi	字
zu	租
zuo	作
zui	最
zuan	賺
zun	遵
zha	扎
zhe	遮
zhai	摘
zhei	這
zhao	找
zhou	周
zhan	站
zhen	真
zhang	張
zheng	正
zhong	中
zhi	之
zhu	豬
zhua	爪
zhuo	桌
zhuai	拽
zhui	追
zhuan	专
zhun	準
zhuang	裝
