# 《现代汉语词典》（第7版）：音节表
# 共1335个（其中轻声38个，•标注，另外hm、hng无声调）
# “和 •huo”“家 •jia”等轻声，以及ei（“欸，ề又èi”）在仅词典正文中出现，但未出现在音节表，未予以记录。
# 部分文献统计的《现代汉语词典》（旧版本）音节数量为1338个，其中轻声40个，其中差异待考。
#
# 拼音	轻声

ā	
á	
ǎ	
à	
a	•
āi	
ái	
ǎi	
ài	
ān	
ǎn	
àn	
āng	
áng	
àng	
āo	
áo	
ǎo	
ào	
bā	
bá	
bǎ	
bà	
ba	•
bāi	
bái	
bǎi	
bài	
bai	•
bān	
bǎn	
bàn	
bāng	
bǎng	
bàng	
bāo	
báo	
bǎo	
bào	
bēi	
běi	
bèi	
bei	•
bēn	
běn	
bèn	
bēng	
béng	
běng	
bèng	
bī	
bí	
bǐ	
bì	
biān	
biǎn	
biàn	
biāo	
biǎo	
biào	
biē	
bié	
biě	
biè	
bīn	
bìn	
bīng	
bǐng	
bìng	
bō	
bó	
bǒ	
bò	
bo	•
bū	
bú	
bǔ	
bù	
cā	
cǎ	
cāi	
cái	
cǎi	
cài	
cān	
cán	
cǎn	
càn	
cāng	
cáng	
cāo	
cáo	
cǎo	
cào	
cè	
cèi	
cēn	
cén	
cēng	
céng	
cèng	
chā	
chá	
chǎ	
chà	
chāi	
chái	
chǎi	
chài	
chān	
chán	
chǎn	
chàn	
chāng	
cháng	
chǎng	
chàng	
chāo	
cháo	
chǎo	
chào	
chē	
chě	
chè	
chēn	
chén	
chěn	
chèn	
chen	•
chēng	
chéng	
chěng	
chèng	
chī	
chí	
chǐ	
chì	
chōng	
chóng	
chǒng	
chòng	
chōu	
chóu	
chǒu	
chòu	
chū	
chú	
chǔ	
chù	
chuā	
chuāi	
chuái	
chuǎi	
chuài	
chuān	
chuán	
chuǎn	
chuàn	
chuāng	
chuáng	
chuǎng	
chuàng	
chuī	
chuí	
chūn	
chún	
chǔn	
chuō	
chuò	
cī	
cí	
cǐ	
cì	
cōng	
cóng	
