# 笪骏-不记声调的音节频率(2004, 2010更新)
# 共339个音节
# https://lingua.mtsu.edu/chinese-computing/phonology/syllable.php
#
# Serial number	Syllable	frequency	Phonemes

1	a	143836	a
2	ai	213586	ai
3	an	418511	an
4	ang	10267	aN
5	ao	60455	au
6	ba	679337	pa
7	bai	349026	pai
8	ban	429225	pan
9	bang	87257	paN
10	bao	620534	pau
11	bei	670092	pi
12	ben	411819	pn
13	beng	12432	pN
14	bi	421278	pi
15	bian	597897	pian
16	biao	320022	piau
17	bie	188222	pi
18	bin	25234	pin
19	bing	533163	piN
20	bo	226232	p
21	bu	2943968	pu
22	ca	15954	tsha
23	cai	427296	tshai
24	can	141816	tshan
25	cang	28725	tshaN
26	cao	84874	tshau
27	ce	128686	tsh
28	cen	1069	tshn
29	ceng	143033	tshN
30	cha	255265	ha
31	chai	7276	hai
32	chan	291680	han
33	chang	849564	haN
34	chao	163164	hau
35	che	166297	h
36	chen	288341	hn
37	cheng	857501	hN
38	chi	312261	h
39	chong	146742	huN
40	chou	85191	hu
41	chu	1221539	hu
42	chuai	1829	huai
43	chuan	280973	huan
44	chuang	125052	huaN
45	chui	32523	hui
46	chun	79748	hun
47	chuo	4140	hu
48	ci	657819	tsh
49	cong	405173	tshuN
50	cou	5544	tshu
51	cu	46527	tshu
52	cuan	5002	tshuan
53	cui	39761	tshui
54	cun	173519	tshun
55	cuo	94761	tshu
56	da	1469164	ta
57	dai	497044	tai
58	dan	700482	tan
59	dang	564806	taN
60	dao	1788900	tau
61	de	8722289	t
62	deng	356833	tN
63	di	1724350	ti
64	dian	575699	tian
65	diao	167083	tiau
66	die	37329	ti
67	ding	521121	tiN
68	diu	11285	tiu
69	dong	723244	tuN
70	dou	541323	tu
71	du	248897	tu
72	duan	247728	tuan
73	dui	870671	tui
74	dun	87900	tun
75	duo	747728	tu
76	e	109896	
77	en	37898	n
78	eng	6707	N
79	er	1353892	r
80	fa	1088739	fa
81	fan	459450	fan
82	fang	874075	faN
83	fei	427791	fi
84	fen	566699	fn
85	feng	289836	fN
86	fo	47038	f
87	fou	64772	fu
88	fu	1056555	fu
89	ga	5050	ka
90	gai	335105	kai
91	gan	426276	kan
92	gang	140899	kaN
93	gao	475204	kau
94	ge	1748292	k
95	gei	217815	ki
96	gen	196736	kn
97	geng	202642	kN
98	gong	1072260	kuN
99	gou	229650	ku
100	gu	432908	ku
101	gua	43244	kua
102	guai	55710	kuai
103	guan	788407	kuan
104	guang	238613	kuaN
105	gui	280303	kui
106	gun	18003	kun
107	guo	1841775	ku
108	ha	52475	xa
109	hai	779180	xai
110	han	203571	xan
111	hang	51372	xaN
112	hao	573206	xau
113	he	1635213	x
114	hei	84324	xi
115	hen	321875	xn
116	heng	58378	xN
117	hong	149967	xuN
118	hou	749405	xu
119	hu	471675	xu
120	hua	807991	xua
121	huai	97699	xuai
122	huan	232948	xuan
123	huang	184840	xuaN
124	hui	1181130	xui
125	hun	96486	xun
126	huo	712024	xu
127	ji	2977951	tsi
128	jia	1051033	tsia
129	jian	1451889	tsian
130	jiang	511050	tsiaN
131	jiao	703885	tsiau
132	jie	1109315	tsi
133	jin	1163074	tsin
134	jing	1186243	tsiN
135	jiong	4019	tsiuN
136	jiu	1166024	tsiu
137	ju	685312	tsy
138	juan	51759	tsyan
139	jue	384873	tsy
140	jun	463498	tsuin
141	ka	60440	kha
142	kai	398586	khai
143	kan	469240	khan
144	kang	91959	khaN
145	kao	130219	khau
146	ke	1254178	kh
147	ken	47955	khn
148	keng	6954	khN
149	kong	260769	khuN
150	kou	208960	khu
151	ku	132880	khu
152	kua	19956	khua
153	kuai	163050	khuai
154	kuan	67005	khuan
155	kuang	153891	khuaN
156	kui	35822	khui
157	kun	53949	khun
158	kuo	81713	khu
159	la	183642	la
160	lai	1118779	lai
161	lan	142369	lan
162	lang	73480	laN
163	lao	299072	lau
164	le	2226721	l
165	lei	238732	li
166	leng	62152	lN
167	li	2308041	li
168	lian	389564	lian
169	liang	639396	liaN
170	liao	130518	liau
171	lie	165597	li
172	lin	192140	lin
173	ling	457865	liN
174	liu	351731	liu
175	long	94753	luN
176	lou	52042	lu
177	lu	362789	lu
178	lü	276875	ly
179	luan	55675	luan
180	lüe	61411	ly
181	lun	264565	lun
182	luo	281150	lu
183	ma	388106	ma
184	mai	137363	mai
185	man	188310	man
186	mang	65817	maN
187	mao	170048	mau
188	me	480720	(N/A)
189	mei	933373	mi
190	men	1391330	mn
191	meng	132845	mN
192	mi	230299	mi
193	mian	503878	mian
194	miao	68770	miau
195	mie	37465	mi
196	min	354208	min
197	ming	696618	miN
198	miu	4290	miu
199	mo	273029	m
200	mou	116225	mu
201	mu	408250	mu
202	na	831925	na
203	nai	69877	nai
204	nan	356362	nan
205	nang	6709	naN
206	nao	93398	nau
207	ne	112185	n
208	nei	231331	ni
209	nen	3707	mn
210	neng	665358	nN
211	ni	812061	ni
212	nian	695312	nian
213	niang	40907	niaN
214	niao	29319	niau
215	nie	12991	ni
216	nin	51094	nin
217	ning	44017	niN
218	niu	52960	niu
219	nong	131225	nuN
220	nu	67922	nu
221	nü	185188	ny
222	nuan	9762	nuan
223	nüe	2979	ny
224	nuo	40022	nu
225	o	4582	(N/A)
226	ou	64452	u
227	pa	96735	pha
228	pai	177618	phai
229	pan	108530	phan
230	pang	57763	phaN
231	pao	99236	phau
232	pei	114110	phi
233	pen	16807	phn
234	peng	102631	phN
235	pi	376008	phi
236	pian	158598	phian
237	piao	63377	phiau
238	pie	5059	phi
239	pin	184837	phin
240	ping	281773	phiN
241	po	176842	ph
242	pou	3767	phu
243	pu	138110	phu
244	qi	1765121	tshi
245	qia	21271	tshia
246	qian	638821	tshian
247	qiang	232291	tshiaN
248	qiao	105464	tshiau
249	qie	287521	tshi
250	qin	199822	tshin
251	qing	774492	tshiN
252	qiong	23167	tshiuN
253	qiu	244599	tshiu
254	qu	884073	tshy
255	quan	503025	tshyan
256	que	321359	tshy
257	qun	74521	tshuin
258	ran	549902	ran
259	rang	136101	raN
260	rao	33503	rau
261	re	72069	r
262	ren	2318926	rn
263	reng	75535	rN
264	ri	363763	r
265	rong	164398	ruN
266	rou	45636	ru
267	ru	669787	ru
268	ruan	30350	ruan
269	rui	28898	rui
270	run	16922	run
271	ruo	89865	ru
272	sa	48768	sa
273	sai	55584	sai
274	san	349119	san
275	sang	32783	saN
276	sao	27351	sau
277	se	155077	s
278	sen	29533	sn
279	seng	6920	sN
280	sha	147176	a
281	shai	4290	ai
282	shan	284678	an
283	shang	1292610	aN
284	shao	256246	au
285	she	433892	
286	shei	61528	i
287	shen	1006355	n
288	sheng	1150523	N
289	shi	7050291	
