# 《重編國語辭典（修訂本）》音节统计
# 共1336个音节。
#
# https://dict.revised.moe.edu.tw/index.jsp
# 备注：
# 以下几个注音形式可能存在错误，未予纳入统计。
# - 庸傭墉慵鄘鏞: yúng ㄩㄥˊ （应作yóng，此音节未列入）
# - 㶟: léi ㄌㄟˇ（声调不一致，应作lěi，此音节已有）
# - lüán等音节暂保留。
#
# 拼音	注音	例字	字数

ā	ㄚ	啊	4
á	ㄚˊ	嗄	1
à	ㄚˋ	阿	1
a	˙ㄚ	啊	1
āi	ㄞ	哀	6
ái	ㄞˊ	呆	10
ǎi	ㄞˇ	佁	7
ài	ㄞˋ	乂	16
ān	ㄢ	媕	14
án	ㄢˊ	啽	1
ǎn	ㄢˇ	俺	6
àn	ㄢˋ	岸	13
āng	ㄤ	腌	2
áng	ㄤˊ	卬	2
àng	ㄤˋ	枊	2
āo	ㄠ	凹	4
áo	ㄠˊ	嗷	17
ǎo	ㄠˇ	夭	5
ào	ㄠˋ	傲	15
bā	ㄅㄚ	八	13
bá	ㄅㄚˊ	拔	9
bǎ	ㄅㄚˇ	把	3
bà	ㄅㄚˋ	伯	10
ba	˙ㄅㄚ	吧	4
bāi	ㄅㄞ	掰	1
bái	ㄅㄞˊ	白	1
bǎi	ㄅㄞˇ	伯	8
bài	ㄅㄞˋ	唄	5
bān	ㄅㄢ	扳	9
bǎn	ㄅㄢˇ	坂	10
bàn	ㄅㄢˋ	伴	9
bāng	ㄅㄤ	傍	4
bǎng	ㄅㄤˇ	榜	4
bàng	ㄅㄤˋ	並	13
bāo	ㄅㄠ	剝	12
báo	ㄅㄠˊ	薄	2
bǎo	ㄅㄠˇ	保	8
bào	ㄅㄠˋ	儤	15
bēi	ㄅㄟ	俾	18
běi	ㄅㄟˇ	北	2
bèi	ㄅㄟˋ	鞴	34
bei	˙ㄅㄟ	唄	1
bēn	ㄅㄣ	奔	3
běn	ㄅㄣˇ	本	3
bèn	ㄅㄣˋ	坌	4
bēng	ㄅㄥ	崩	5
béng	ㄅㄥˊ	甭	1
běng	ㄅㄥˇ	琫	3
bèng	ㄅㄥˋ	堋	8
bī	ㄅㄧ	偪	4
bí	ㄅㄧˊ	荸	2
bǐ	ㄅㄧˇ	佊	11
bì	ㄅㄧˋ	佛	92
biān	ㄅㄧㄢ	楄	10
biǎn	ㄅㄧㄢˇ	匾	10
biàn	ㄅㄧㄢˋ	便	18
biāo	ㄅㄧㄠ	儦	23
biǎo	ㄅㄧㄠˇ	俵	6
biào	ㄅㄧㄠˋ	摽	2
biē	ㄅㄧㄝ	憋	3
bié	ㄅㄧㄝˊ	別	6
biě	ㄅㄧㄝˇ	癟	1
biè	ㄅㄧㄝˋ	彆	1
bīn	ㄅㄧㄣ	份	16
bìn	ㄅㄧㄣˋ	儐	7
bīng	ㄅㄧㄥ	兵	8
bǐng	ㄅㄧㄥˇ	丙	13
bìng	ㄅㄧㄥˋ	並	8
bō	ㄅㄛ	剝	17
bó	ㄅㄛˊ	鸔	60
bǒ	ㄅㄛˇ	簸	2
bò	ㄅㄛˋ	㓦	10
bo	˙ㄅㄛ	啵	2
bū	ㄅㄨ	晡	3
bú	ㄅㄨˊ	轐	2
bǔ	ㄅㄨˇ	卜	6
bù	ㄅㄨˋ	不	14
cā	ㄘㄚ	搽	2
cǎ	ㄘㄚˇ	礤	1
cà	ㄘㄚˋ	囃	1
cāi	ㄘㄞ	猜	1
cái	ㄘㄞˊ	才	5
cǎi	ㄘㄞˇ	寀	9
cài	ㄘㄞˋ	縩	4
cān	ㄘㄢ	參	3
cán	ㄘㄢˊ	帴	4
cǎn	ㄘㄢˇ	慘	3
càn	ㄘㄢˋ	孱	5
cāng	ㄘㄤ	倉	6
cáng	ㄘㄤˊ	藏	1
cǎng	ㄘㄤˇ	駔	1
cāo	ㄘㄠ	操	2
cáo	ㄘㄠˊ	嘈	5
cǎo	ㄘㄠˇ	慅	5
cào	ㄘㄠˋ	慥	5
cè	ㄘㄜˋ	側	9
cēn	ㄘㄣ	參	3
cén	ㄘㄣˊ	岑	2
cēng	ㄘㄥ	噌	1
céng	ㄘㄥˊ	層	4
cěng	ㄘㄥˇ	噌	1
cèng	ㄘㄥˋ	蹭	1
chā	ㄔㄚ	叉	9
chá	ㄔㄚˊ	叉	11
chǎ	ㄔㄚˇ	叉	4
chà	ㄔㄚˋ	侘	10
chāi	ㄔㄞ	差	3
chái	ㄔㄞˊ	儕	6
chǎi	ㄔㄞˇ	冊	2
chài	ㄔㄞˋ	差	3
chān	ㄔㄢ	幨	5
chán	ㄔㄢˊ	僝	28
chǎn	ㄔㄢˇ	剗	15
chàn	ㄔㄢˋ	丳	8
chāng	ㄔㄤ	倀	10
cháng	ㄔㄤˊ	倘	13
chǎng	ㄔㄤˇ	場	7
chàng	ㄔㄤˋ	倡	7
chāo	ㄔㄠ	勦	8
cháo	ㄔㄠˊ	啁	9
chǎo	ㄔㄠˇ	吵	3
chào	ㄔㄠˋ	耖	3
chē	ㄔㄜ	唓	4
chě	ㄔㄜˇ	哆	4
chè	ㄔㄜˋ	呫	9
chēn	ㄔㄣ	嗔	7
chén	ㄔㄣˊ	塵	15
chěn	ㄔㄣˇ	硶	4
chèn	ㄔㄣˋ	儭	10
chēng	ㄔㄥ	偁	14
chéng	ㄔㄥˊ	䟫	30
chěng	ㄔㄥˇ	逞	2
chèng	ㄔㄥˋ	秤	2
chī	ㄔ	吃	20
chí	ㄔˊ	匙	20
chǐ	ㄔˇ	侈	10
chì	ㄔˋ	傺	19
chōng	ㄔㄨㄥ	充	11
chóng	ㄔㄨㄥˊ	崇	5
chǒng	ㄔㄨㄥˇ	寵	1
chòng	ㄔㄨㄥˋ	尰	3
chōu	ㄔㄡ	抽	7
chóu	ㄔㄡˊ	鯈	21
chǒu	ㄔㄡˇ	丑	5
chòu	ㄔㄡˋ	殠	3
chū	ㄔㄨ	出	4
chú	ㄔㄨˊ	儲	18
chǔ	ㄔㄨˇ	儲	8
chù	ㄔㄨˋ	亍	20
chuā	ㄔㄨㄚ	欻	1
chuǎ	ㄔㄨㄚˇ	抓	1
chuà	ㄔㄨㄚˋ	䫄	1
chuāi	ㄔㄨㄞ	搋	1
chuái	ㄔㄨㄞˊ	膗	1
chuǎi	ㄔㄨㄞˇ	揣	1
chuài	ㄔㄨㄞˋ	嘬	3
chuān	ㄔㄨㄢ	巛	4
chuán	ㄔㄨㄢˊ	傳	7
chuǎn	ㄔㄨㄢˇ	喘	4
chuàn	ㄔㄨㄢˋ	串	2
chuāng	ㄔㄨㄤ	創	5
chuáng	ㄔㄨㄤˊ	噇	6
chuǎng	ㄔㄨㄤˇ	搶	2
chuàng	ㄔㄨㄤˋ	凔	5
chuī	ㄔㄨㄟ	吹	2
chuí	ㄔㄨㄟˊ	倕	14
chuì	ㄔㄨㄟˋ	吹	2
chūn	ㄔㄨㄣ	春	4
chún	ㄔㄨㄣˊ	屯	10
chǔn	ㄔㄨㄣˇ	蠢	2
chuō	ㄔㄨㄛ	戳	1
chuò	ㄔㄨㄛˋ	啜	12
cī	ㄘ	呲	8
cí	ㄘˊ	慈	13
cǐ	ㄘˇ	佌	5
cì	ㄘˋ	伺	9
cōng	ㄘㄨㄥ	匆	13
cóng	ㄘㄨㄥˊ	叢	7
còng	ㄘㄨㄥˋ	謥	1
còu	ㄘㄡˋ	楱	4
cū	ㄘㄨ	粗	3
cú	ㄘㄨˊ	徂	2
cù	ㄘㄨˋ	促	20
cuān	ㄘㄨㄢ	攛	4
cuán	ㄘㄨㄢˊ	巑	3
cuàn	ㄘㄨㄢˋ	爨	4
cuī	ㄘㄨㄟ	催	9
cuǐ	ㄘㄨㄟˇ	洒	5
cuì	ㄘㄨㄟˋ	倅	16
cūn	ㄘㄨㄣ	村	3
cún	ㄘㄨㄣˊ	存	2
cǔn	ㄘㄨㄣˇ	刌	2
cùn	ㄘㄨㄣˋ	吋	2
cuō	ㄘㄨㄛ	差	10
cuó	ㄘㄨㄛˊ	嵯	5
cuǒ	ㄘㄨㄛˇ	瑳	2
cuò	ㄘㄨㄛˋ	剉	11
dā	ㄉㄚ	嗒	7
dá	ㄉㄚˊ	呾	13
dǎ	ㄉㄚˇ	打	1
dà	ㄉㄚˋ	大	1
da	˙ㄉㄚ	瘩	2
dāi	ㄉㄞ	呆	3
dǎi	ㄉㄞˇ	傣	4
dài	ㄉㄞˋ	代	23
dān	ㄉㄢ	丹	16
dǎn	ㄉㄢˇ	亶	8
dàn	ㄉㄢˋ	髧	27
dāng	ㄉㄤ	噹	6
dǎng	ㄉㄤˇ	党	8
dàng	ㄉㄤˋ	宕	9
dāo	ㄉㄠ	刀	5
dáo	ㄉㄠˊ	捯	1
dǎo	ㄉㄠˇ	倒	6
dào	ㄉㄠˋ	倒	13
dē	ㄉㄜ	嘚	1
dé	ㄉㄜˊ	得	2
de	˙ㄉㄜ	地	4
děi	ㄉㄟˇ	得	1
dèn	ㄉㄣˋ	㩐	1
dēng	ㄉㄥ	㲪	7
děng	ㄉㄥˇ	戥	2
dèng	ㄉㄥˋ	凳	10
dī	ㄉㄧ	低	12
dí	ㄉㄧˊ	嘀	22
dǐ	ㄉㄧˇ	坻	12
dì	ㄉㄧˋ	地	21
diān	ㄉㄧㄢ	傎	11
diǎn	ㄉㄧㄢˇ	典	4
diàn	ㄉㄧㄢˋ	佃	20
diāo	ㄉㄧㄠ	凋	11
diǎo	ㄉㄧㄠˇ	屌	2
diào	ㄉㄧㄠˋ	吊	11
diē	ㄉㄧㄝ	嗲	2
dié	ㄉㄧㄝˊ	佚	32
dīng	ㄉㄧㄥ	丁	8
dǐng	ㄉㄧㄥˇ	耵	4
dìng	ㄉㄧㄥˋ	啶	8
diū	ㄉㄧㄡ	丟	4
dōng	ㄉㄨㄥ	冬	7
dǒng	ㄉㄨㄥˇ	懂	2
dòng	ㄉㄨㄥˋ	侗	12
dōu	ㄉㄡ	兜	4
dǒu	ㄉㄡˇ	抖	4
dòu	ㄉㄡˋ	痘	9
dū	ㄉㄨ	嘟	4
dú	ㄉㄨˊ	櫝	17
dǔ	ㄉㄨˇ	堵	6
dù	ㄉㄨˋ	妒	9
duān	ㄉㄨㄢ	端	2
duǎn	ㄉㄨㄢˇ	短	1
duàn	ㄉㄨㄢˋ	斷	8
duī	ㄉㄨㄟ	堆	3
duì	ㄉㄨㄟˋ	兌	9
dūn	ㄉㄨㄣ	墩	5
dǔn	ㄉㄨㄣˇ	盹	2
dùn	ㄉㄨㄣˋ	噸	12
duō	ㄉㄨㄛ	哆	3
duó	ㄉㄨㄛˊ	剟	10
duǒ	ㄉㄨㄛˇ	嚲	8
duò	ㄉㄨㄛˋ	剁	20
ē	ㄜ	妸	6
é	ㄜˊ	俄	17
ě	ㄜˇ	噁	10
è	ㄜˋ	㔩	41
ề	ㄝˋ	誒	1
èi	ㄟˋ	欸	1
ēn	ㄣ	恩	1
en	˙ㄣ	嗯	1
èn	ㄣˋ	摁	1
ēng	ㄥ	鞥	1
ér	ㄦˊ	兒	10
ěr	ㄦˇ	洱	8
èr	ㄦˋ	二	8
fā	ㄈㄚ	伐	4
fá	ㄈㄚˊ	乏	8
fǎ	ㄈㄚˇ	法	4
fà	ㄈㄚˋ	琺	1
fān	ㄈㄢ	反	11
