# 李晓琪等-现代汉语音节动态统计分析
#  Worlton, Daniel S. (2014) “超越汉字：现代汉语音节动态统计分析”李晓琪、贾益民、徐娟（主编）《数字化汉语教学（2014）》，北京：清华大学出版社，437-443.
# 备份: https://linguistese.com/yinjiebiao
#
# 备注：
# -  yan5 或为“䶮 yǎn”，但非轻声。
# - 部分音节可能有问题: 艈 uu5, 虲 uu5, 莻 neus5
#
# 汉字序号	汉字	音节	P(Z|Y)	P(Y|Z)	音节序号	载字量

1	的	de5	0.974	0.798	1	4
3	是	shi4	0.592	0.929	2	39
58	事	shi4	0.118	0.969	2	39
2	一	yi1	0.922	0.994	3	19
4	不	bu4	0.764	0.946	4	13
84	部	bu4	0.145	1.000	4	13
1	的	di4	0.463	0.153	5	19
21	地	di4	0.360	0.976	5	19
114	第	di4	0.124	1.000	5	19
10	他	ta1	0.683	1.000	6	10
91	她	ta1	0.166	1.000	6	10
107	它	ta1	0.148	1.000	6	10
6	在	zai4	0.903	0.952	7	4
25	时	shi2	0.425	1.000	8	19
100	实	shi2	0.180	0.959	8	19
112	十	shi2	0.173	1.000	8	19
7	人	ren2	0.990	0.993	9	6
8	有	you3	0.966	0.998	10	13
9	我	wo3	1.000	1.000	11	1
22	到	dao4	0.627	1.000	12	13
52	道	dao4	0.343	0.986	12	13
11	这	zhe4	0.995	0.974	13	6
19	和	he2	0.626	0.922	14	31
171	合	he2	0.160	0.992	14	31
229	何	he2	0.124	1.000	14	31
23	以	yi3	0.722	1.000	15	21
117	已	yi3	0.252	1.000	15	21
44	之	zhi1	0.503	1.000	16	23
123	知	zhi1	0.253	1.000	16	23
12	个	ge4	0.842	0.848	17	6
209	各	ge4	0.157	0.983	17	6
13	们	men5	0.999	1.000	18	2
14	中	zhong1	0.885	0.938	19	13
104	意	yi4	0.314	0.980	20	79
208	义	yi4	0.172	1.000	20	79
368	议	yi4	0.104	1.000	20	79
18	为	wei2	0.804	0.860	21	20
106	力	li4	0.326	1.000	22	50
155	利	li4	0.244	1.000	22	50
197	立	li4	0.186	1.000	22	50
15	来	lai2	0.979	1.000	23	7
5	了	le5	1.000	0.506	24	2
16	上	shang4	0.968	0.955	25	3
17	大	da4	1.000	0.996	26	1
50	里	li3	0.501	0.966	27	17
89	理	li3	0.384	1.000	27	17
5	了	liao3	1.000	0.471	28	4
20	国	guo2	0.999	1.000	29	8
163	制	zhi4	0.261	1.000	30	52
267	至	zhi4	0.170	1.000	30	52
274	治	zhi4	0.163	1.000	30	52
404	质	zhi4	0.109	1.000	30	52
34	生	sheng1	0.719	0.976	31	10
195	声	sheng1	0.222	0.995	31	10
251	计	ji4	0.187	1.000	32	45
306	记	ji4	0.149	0.982	32	45
360	济	ji4	0.125	0.963	32	45
422	技	ji4	0.108	1.000	32	45
423	际	ji4	0.108	1.000	32	45
115	公	gong1	0.352	0.994	33	15
118	工	gong1	0.353	1.000	33	15
452	功	gong1	0.102	1.000	33	15
33	对	dui4	0.807	1.000	34	10
268	队	dui4	0.187	1.000	34	10
59	成	cheng2	0.573	0.997	35	23
314	程	cheng2	0.158	1.000	35	23
413	城	cheng2	0.118	1.000	35	23
152	见	jian4	0.309	0.994	36	35
244	建	jian4	0.206	1.000	36	35
250	件	jian4	0.199	1.000	36	35
27	就	jiu4	0.901	0.985	37	12
24	说	shuo1	1.000	0.961	38	2
198	及	ji2	0.243	1.000	39	40
293	即	ji2	0.176	1.000	39	40
363	极	ji2	0.141	1.000	39	40
406	集	ji2	0.125	1.000	39	40
415	级	ji2	0.122	1.000	39	40
26	要	yao4	0.912	0.935	40	12
111	机	ji1	0.412	1.000	41	49
280	基	ji1	0.186	1.000	41	49
395	击	ji1	0.130	1.000	41	49
49	作	zuo4	0.652	0.986	42	13
246	做	zuo4	0.214	1.000	42	13
28	出	chu1	0.928	1.000	43	5
40	于	yu2	0.780	1.000	44	48
29	会	hui4	0.907	0.984	45	31
56	家	jia1	0.642	0.992	46	23
166	加	jia1	0.309	1.000	46	23
61	经	jing1	0.629	0.997	47	19
435	精	jing1	0.127	0.994	47	19
31	也	ye3	0.943	1.000	48	3
30	可	ke3	0.989	0.996	49	5
43	自	zi4	0.848	0.998	50	7
393	字	zi4	0.150	0.996	50	7
32	你	ni3	0.982	1.000	51	5
129	正	zheng4	0.389	0.939	52	11
150	政	zheng4	0.377	1.000	52	11
372	证	zheng4	0.162	1.000	52	11
146	向	xiang4	0.390	1.000	53	9
294	像	xiang4	0.204	1.000	53	9
300	象	xiang4	0.202	1.000	53	9
47	后	hou4	0.814	1.000	54	8
341	候	hou4	0.153	0.871	54	8
70	现	xian4	0.617	1.000	55	18
430	线	xian4	0.140	1.000	55	18
193	原	yuan2	0.298	1.000	56	30
200	员	yuan2	0.285	0.992	56	30
370	元	yuan2	0.167	1.000	56	30
90	心	xin1	0.568	0.998	57	14
161	新	xin1	0.369	1.000	57	14
53	行	xing2	0.616	0.792	58	10
269	形	xing2	0.236	0.995	58	10
556	型	xing2	0.107	1.000	58	10
36	而	er2	0.960	1.000	59	7
81	进	jin4	0.616	1.000	60	19
374	近	jin4	0.172	1.000	60	19
488	尽	jin4	0.113	0.897	60	19
35	能	neng2	1.000	1.000	61	1
18	为	wei4	0.222	0.140	62	27
182	位	wei4	0.327	1.000	62	27
386	未	wei4	0.168	1.000	62	27
39	得	de2	0.738	0.756	63	3
257	德	de2	0.262	1.000	63	3
42	下	xia4	0.943	0.979	64	6
38	那	na4	0.891	0.886	65	10
45	年	nian2	0.991	1.000	66	6
168	斯	si1	0.406	1.000	67	20
278	司	si1	0.255	0.976	67	20
298	思	si1	0.222	0.910	67	20
167	西	xi1	0.415	0.991	68	67
428	息	xi1	0.157	0.926	68	67
508	希	xi1	0.138	1.000	68	67
54	所	suo3	0.899	1.000	69	7
46	过	guo4	1.000	0.980	70	1
170	话	hua4	0.420	1.000	71	7
178	化	hua4	0.392	0.996	71	7
522	划	hua4	0.104	0.757	71	7
85	其	qi2	0.700	0.990	72	52
563	奇	qi2	0.118	0.935	72	52
97	只	zhi3	0.481	0.719	73	19
261	指	zhi3	0.300	0.993	73	19
596	止	zhi3	0.123	1.000	73	19
75	起	qi3	0.764	0.974	74	13
450	企	qi3	0.173	1.000	74	13
127	关	guan1	0.563	1.000	75	13
334	观	guan1	0.232	0.973	75	13
432	官	guan1	0.182	1.000	75	13
51	用	yong4	0.997	1.000	76	2
119	使	shi3	0.589	1.000	77	8
381	始	shi3	0.210	1.000	77	8
456	史	shi3	0.168	1.000	77	8
121	明	ming2	0.585	1.000	78	14
203	名	ming2	0.375	1.000	78	14
55	然	ran2	0.975	1.000	79	7
142	物	wu4	0.536	0.998	80	26
245	务	wu4	0.322	0.957	80	26
64	去	qu4	0.944	1.000	81	5
48	发	fa1	1.000	0.866	82	1
60	方	fang1	0.970	0.976	83	7
96	因	yin1	0.752	1.000	84	24
540	音	yin1	0.154	1.000	84	24
95	但	dan4	0.763	1.000	85	22
162	己	ji3	0.489	0.947	86	13
180	给	ji3	0.168	0.375	86	13
211	几	ji3	0.297	0.750	86	13
93	前	qian2	0.785	1.000	87	15
602	钱	qian2	0.139	1.000	87	15
62	多	duo1	0.994	1.000	88	5
109	长	chang2	0.463	0.654	89	12
187	常	chang2	0.438	1.000	89	12
174	代	dai4	0.483	1.000	90	23
342	带	dai4	0.260	1.000	90	23
673	待	dai4	0.118	0.983	90	23
426	复	fu4	0.206	1.000	91	30
589	父	fu4	0.134	0.938	91	30
691	负	fu4	0.112	0.983	91	30
733	富	fu4	0.105	1.000	91	30
154	被	bei4	0.564	1.000	92	21
397	备	bei4	0.225	1.000	92	21
124	全	quan2	0.643	1.000	93	20
297	权	quan2	0.304	1.000	93	20
99	想	xiang3	0.779	1.000	94	7
503	响	xiang3	0.173	1.000	94	7
66	学	xue2	0.983	1.000	95	8
65	法	fa3	1.000	1.000	96	2
108	与	yu3	0.615	0.830	97	21
493	语	yu3	0.177	0.994	97	21
73	动	dong4	0.915	1.000	98	13
69	同	tong2	0.917	0.968	99	24
67	如	ru2	0.977	1.000	100	13
231	数	shu4	0.366	0.908	101	17
328	术	shu4	0.286	0.987	101	17
674	述	shu4	0.127	1.000	101	17
697	树	shu4	0.119	1.000	101	17
63	么	me5	0.994	0.943	102	3
77	定	ding4	0.944	1.000	103	11
313	据	ju4	0.295	0.957	104	30
391	具	ju4	0.243	1.000	104	30
707	句	ju4	0.116	0.984	104	30
1	的	di2	0.762	0.043	105	16
523	敌	di2	0.176	1.000	105	16
102	军	jun1	0.816	1.000	106	16
136	由	you2	0.661	1.000	107	23
695	游	you2	0.123	1.000	107	23
130	业	ye4	0.678	1.000	108	18
665	夜	ye4	0.135	1.000	108	18
135	间	jian1	0.607	0.893	109	37
748	坚	jian1	0.113	1.000	109	37
191	教	jiao4	0.476	0.979	110	18
387	叫	jiao4	0.257	1.000	110	18
491	较	jiao4	0.193	1.000	110	18
14	中	zhong4	0.160	0.062	111	7
57	种	zhong4	0.218	0.186	111	7
140	重	zhong4	0.410	0.621	111	7
510	众	zhong4	0.187	1.000	111	7
83	小	xiao3	0.958	1.000	112	6
78	天	tian1	0.980	1.000	113	3
164	身	shen1	0.584	1.000	114	19
401	深	shen1	0.248	1.000	114	19
74	面	mian4	1.000	1.000	115	3
68	都	du1	0.912	0.874	116	5
57	种	zhong3	0.970	0.806	117	4
609	育	yu4	0.159	0.988	118	63
647	预	yu4	0.149	1.000	118	63
169	月	yue4	0.582	1.000	119	21
440	越	yue4	0.231	1.000	119	21
87	主	zhu3	0.971	1.000	120	12
86	些	xie1	0.976	1.000	121	4
186	任	ren4	0.515	0.992	122	20
212	认	ren4	0.469	1.000	122	20
309	住	zhu4	0.340	1.000	123	26
492	注	zhu4	0.203	1.000	123	26
607	助	zhu4	0.164	1.000	123	26
777	著	zhu4	0.110	0.968	123	26
72	没	mei2	0.793	0.755	124	23
143	手	shou3	0.684	0.994	125	4
482	首	shou3	0.207	0.991	125	4
796	守	shou3	0.109	1.000	125	4
160	或	huo4	0.640	1.000	126	15
688	获	huo4	0.135	1.000	126	15
818	货	huo4	0.105	1.000	126	15
270	社	she4	0.395	1.000	127	14
302	设	she4	0.353	1.000	127	14
703	射	she4	0.132	1.000	127	14
145	战	zhan4	0.693	1.000	128	9
544	站	zhan4	0.188	1.000	128	9
737	占	zhan4	0.104	0.838	128	9
105	无	wu2	0.892	0.998	129	16
79	分	fen1	0.892	0.853	130	10
88	样	yang4	0.994	1.000	131	8
356	言	yan2	0.303	1.000	132	24
447	研	yan2	0.232	0.984	132	24
545	严	yan2	0.189	1.000	132	24
196	提	ti2	0.504	0.968	133	18
218	题	ti2	0.482	1.000	133	18
80	还	huan2	0.846	0.800	134	18
681	环	huan2	0.142	1.000	134	18
255	直	zhi2	0.431	1.000	135	16
600	值	zhi2	0.172	1.000	135	16
616	职	zhi2	0.166	1.000	135	16
763	执	zhi2	0.121	1.000	135	16
224	变	bian4	0.475	1.000	136	15
271	便	bian4	0.374	0.916	136	15
151	美	mei3	0.691	1.000	137	5
359	每	mei3	0.307	1.000	137	5
92	本	ben3	0.998	1.000	138	4
122	性	xing4	0.800	1.000	139	10
333	师	shi1	0.334	1.000	140	20
375	失	shi1	0.299	0.994	140	20
553	施	shi1	0.193	1.000	140	20
126	又	you4	0.794	1.000	141	16
783	右	you4	0.119	1.000	141	16
76	看	kan4	0.997	0.891	142	6
273	决	jue2	0.417	1.000	143	43
327	觉	jue2	0.312	0.895	143	43
562	绝	jue2	0.190	1.000	143	43
94	开	kai1	0.998	1.000	144	3
141	并	bing4	0.736	0.982	145	4
427	病	bing4	0.262	1.000	145	4
37	子	zi5	0.996	0.569	146	3
101	日	ri4	1.000	1.000	147	2
103	者	zhe3	0.997	1.000	148	4
98	从	cong2	0.969	0.943	149	6
71	当	dang1	0.998	0.815	150	4
248	必	bi4	0.504	1.000	151	70
82	好	hao3	0.995	0.836	152	2
217	气	qi4	0.528	0.957	153	21
441	器	qi4	0.276	1.000	153	21
139	最	zui4	0.822	1.000	154	4
718	罪	zui4	0.151	1.000	154	4
260	金	jin1	0.499	1.000	155	13
336	今	jin1	0.376	1.000	155	13
113	民	min2	0.999	1.000	156	9
235	结	jie2	0.516	0.938	157	26
513	节	jie2	0.241	0.995	157	26
128	点	dian3	0.909	1.000	158	5
335	清	qing1	0.386	1.000	159	10
460	轻	qing1	0.272	1.000	159	10
498	青	qing1	0.250	1.000	159	10
148	文	wen2	0.830	1.000	160	12
825	闻	wen2	0.128	1.000	160	12
263	克	ke4	0.509	1.000	161	16
583	客	ke4	0.212	1.000	161	16
618	刻	ke4	0.199	1.000	161	16
147	头	tou2	0.751	0.879	162	3
516	投	tou2	0.248	1.000	162	3
120	情	qing2	0.970	0.996	163	8
116	此	ci3	1.000	1.000	164	2
110	把	ba3	0.995	0.920	165	3
295	难	nan2	0.322	0.696	166	5
307	南	nan2	0.443	0.997	166	5
603	男	nan2	0.215	1.000	166	5
279	五	wu3	0.494	1.000	167	17
502	武	wu3	0.262	1.000	167	17
153	相	xiang1	0.644	0.745	168	13
776	香	xiang1	0.149	1.000	168	13
921	乡	xiang1	0.116	1.000	168	13
