分类	=	-	ㄅ	ㄆ	ㄇ	ㄈ	ㄉ	ㄊ	ㄋ	ㄌ	ㄍ	ㄎ	ㄏ	ㄐ	ㄑ	ㄒ	ㄓ	ㄔ	ㄕ	ㄖ	ㄗ	ㄘ	ㄙ	◯
開口呼	ㄭ	陰															之	蚩	尸	◯	孜	雌	私	
		陽															直	池	時	◯	◯	祠	◯	
		上															止	恥	史	◯	子	此	死	
		去															志	翅	是	日	字	次	四	
	ㄚ	陰	巴	趴	媽	發	搭	他	那	拉	旮	咖	哈				扎	叉	沙		紮	擦	撒	啊
		陽	拔	爬	麻	乏	答	◯	拿	邋	噶	◯	蝦				紮	茶	啥		咱	◯	◯	嗄
		上	把	◯	馬	髮	打	塔	哪	喇	◯	卡	哈				眨	◯	傻		◯	礤	灑	◯
		去	爸	怕	罵	琺	大	沓	那	辣	尬	喀	◯				乍	岔	煞		◯	◯	薩	阿
	ㄛ	陰	玻	坡	摸	◯				〔咯〕														喔
		陽	柏	婆	模	佛																		哦
		上	跛	叵	抹	◯																		嚄
		去	播	破	末	◯																		◯
	ㄜ	陰			〔麼〕		◯	◯	◯	◯	哥	科	訶				遮	車	奢	◯	◯	◯	◯	痾
		陽					德	◯	◯	◯	閣	咳	禾				蜇	◯	蛇	◯	則	◯	◯	娥
		上					◯	◯	◯	◯	葛	可	◯				者	扯	捨	惹	怎	◯	◯	噁
		去					◯	特	訥	肋	各	課	賀				這	澈	射	熱	仄	測	色	餓
	ㄝ	陰																						◯
		陽																						◯
		上																						◯
		去																						誒
	ㄞ	陰	掰	拍	◯		呆	胎	◯	◯	該	開	咳				摘	拆	篩		災	猜	腮	哀
		陽	白	排	埋		◯	臺	◯	來	◯	◯	孩				宅	柴	◯		◯	才	◯	皚
		上	擺	排	買		歹	◯	乃	◯	改	楷	海				窄	◯	色		宰	采	◯	藹
		去	敗	派	賣		代	太	奈	賴	丐	愾	害				債	瘥	晒		再	菜	賽	愛
	ㄟ	陰	卑	胚	◯	非	◯		◯	勒	◯		黑				◯		◯		◯			◯
		陽	◯	培	眉	肥	◯		◯	雷	◯		◯				◯		誰		賊			◯
		上	北	◯	美	匪	得		餒	蕾	給		黑				◯		◯		◯			◯
		去	貝	配	妹	肺	◯		內	類	◯		◯				這		◯		◯			欸
	ㄠ	陰	包	拋	貓		刀	滔	◯	撈	羔	尻	蒿				招	抄	稍	◯	糟	操	搔	凹
		陽	薄	袍	毛		◯	桃	撓	勞	◯	◯	豪				著	朝	勺	饒	鑿	曹	◯	敖
		上	保	跑	卯		倒	討	腦	老	稿	考	好				找	吵	少	擾	早	草	掃	襖
		去	抱	砲	帽		到	套	鬧	澇	告	靠	浩				召	◯	紹	繞	造	肏	臊	傲
	ㄡ	陰		剖	◯	◯	都	偷	◯	摟	勾	摳	齁				州	抽	收	◯	鄒	◯	搜	歐
		陽		抔	謀	芣		頭	◯	樓	◯	◯	侯				軸	酬	熟	柔	◯	◯	◯	◯
